Id,Comments__c,Customer__c,LastActivityDate,Name,Order_Date__c,Rating__c,Storefront__c
a06Ws000007Be6FIAS,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YGowIAG,,R-00000072,2025-01-19,4,a09Ws00000AJixFIAT
a06Ws000007Be6IIAS,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YFF3IAO,,R-00000075,2024-12-12,1,a09Ws00000AJixKIAT
a06Ws000007Be6KIAS,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFG8IAO,,R-00000077,2025-01-08,4,a09Ws00000AJixMIAT
a06Ws000007Be6LIAS,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YFFyIAO,,R-00000078,2024-12-13,2,a09Ws00000AJiJ4IAL
a06Ws000007Be6MIAS,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YG3RIAW,,R-00000079,2025-01-14,4,a09Ws00000AJixFIAT
a06Ws000007Be6NIAS,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YGpBIAW,,R-00000080,2025-01-15,5,a09Ws00000AJiJ3IAL
a06Ws000007Be6OIAS,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YG3RIAW,,R-00000081,2025-01-09,4,a09Ws00000AJiIzIAL
a06Ws000007Be6QIAS,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YFF3IAO,,R-00000083,2024-12-26,4,a09Ws00000AJixKIAT
a06Ws000007Be6RIAS,"The restaurant had potential, but my meal fell short. The portions were small, and the food lacked the bold flavors I was expecting. Service was subpar too.",003Ws000008YGpvIAG,,R-00000084,2025-01-07,5,a09Ws00000AJiJ2IAL
a06Ws000007Be6SIAS,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YGpBIAW,,R-00000085,2025-01-12,3,a09Ws00000AJixKIAT
a06Ws000007Be6TIAS,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YG3RIAW,,R-00000086,2025-01-16,1,a09Ws00000AJiIyIAL
a06Ws000007Be6UIAS,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YFEtIAO,,R-00000087,2024-12-30,4,a09Ws00000AJiIxIAL
a06Ws000007Be6WIAS,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpxIAG,,R-00000089,2024-12-28,3,a09Ws00000AJixMIAT
a06Ws000007Bl71IAC,Absolutely loved the food! Every dish was flavorful and beautifully presented. The staff were incredibly attentive.,003Ws000008YFEaIAO,,R-00000095,2025-01-08,5,a09Ws00000AJiIyIAL
a06Ws000007Bl73IAC,A wonderful dining experience with a warm ambiance and mouthwatering dishes. Will definitely return soon!,003Ws000008YFFGIA4,,R-00000097,2025-01-13,5,a09Ws00000AJiIyIAL
a06Ws000007Bl75IAC,A wonderful dining experience with a warm ambiance and mouthwatering dishes. Will definitely return soon!,003Ws000008YGpnIAG,,R-00000099,2025-01-17,5,a09Ws00000AJiIyIAL
a06Ws000007Bl7AIAS,"The flavors were decent, but the service was a bit slow. Could be better.",003Ws000008YFFyIAO,,R-00000104,2024-12-17,5,a09Ws00000AJiJ1IAL
a06Ws000007Bl7CIAS,"A mixed experience; some dishes were good, but others fell flat. The staff seemed overworked.",003Ws000008YFFyIAO,,R-00000106,2025-01-10,5,a09Ws00000AJixFIAT
a06Ws000007Bl7EIAS,A wonderful dining experience with a warm ambiance and mouthwatering dishes. Will definitely return soon!,003Ws000008YFF6IAO,,R-00000108,2025-01-07,5,a09Ws00000AJiIzIAL
a06Ws000007Bl7IIAS,"The flavors were exquisite, and the service was top-notch. Highly recommend this place for any food enthusiast.",003Ws000008YGpdIAG,,R-00000112,2025-01-04,4,a09Ws00000AJiJ0IAL
a06Ws000007Bl7NIAS,Absolutely loved the food! Every dish was flavorful and beautifully presented. The staff were incredibly attentive.,003Ws000008YGpbIAG,,R-00000117,2024-12-19,5,a09Ws00000AJiIxIAL
a06Ws000007Bl7TIAS,"An underwhelming experience. The meal was alright, but it lacked the wow factor I was hoping for.",003Ws000008YFEaIAO,,R-00000123,2024-12-21,4,a09Ws00000AJiIzIAL
a06Ws000007Bl7UIAS,Absolutely loved the food! Every dish was flavorful and beautifully presented. The staff were incredibly attentive.,003Ws000008YGpEIAW,,R-00000124,2025-01-03,4,a09Ws00000AJixFIAT
a06Ws000007Bl7VIAS,"Perfect spot for a special evening. The food, ambiance, and service were all outstanding.",003Ws000008YFEtIAO,,R-00000125,2024-12-12,4,a09Ws00000AJiJ1IAL
a06Ws000007Bl7bIAC,"The flavors were exquisite, and the service was top-notch. Highly recommend this place for any food enthusiast.",003Ws000008YGpdIAG,,R-00000131,2025-01-19,5,a09Ws00000AJiJ4IAL
a06Ws000007Bl7cIAC,Absolutely loved the food! Every dish was flavorful and beautifully presented. The staff were incredibly attentive.,003Ws000008YGpHIAW,,R-00000132,2024-12-17,4,a09Ws00000AJiIzIAL
a06Ws000007BlagIAC,"Fantastic restaurant! The atmosphere was lively, and the food exceeded all my expectations.",003Ws000008YFFoIAO,,R-00000134,2024-12-23,4,a09Ws00000AJixGIAT
a06Ws000007BlakIAC,"Perfect spot for a special evening. The food, ambiance, and service were all outstanding.",003Ws000008YFG1IAO,,R-00000138,2025-01-07,5,a09Ws00000AJiJ4IAL
a06Ws000007BlanIAC,"A mixed experience; some dishes were good, but others fell flat. The staff seemed overworked.",003Ws000008YG3RIAW,,R-00000141,2024-12-31,5,a09Ws00000AJiIyIAL
a06Ws000007BlaoIAC,"The flavors were exquisite, and the service was top-notch. Highly recommend this place for any food enthusiast.",003Ws000008YGpxIAG,,R-00000142,2025-01-11,4,a09Ws00000AJiJ2IAL
a06Ws000007BlaqIAC,A wonderful dining experience with a warm ambiance and mouthwatering dishes. Will definitely return soon!,003Ws000008YGpBIAW,,R-00000144,2025-01-11,5,a09Ws00000AJiIzIAL
a06Ws000007BlatIAC,Absolutely loved the food! Every dish was flavorful and beautifully presented. The staff were incredibly attentive.,003Ws000008YFG1IAO,,R-00000147,2024-12-24,5,a09Ws00000AJiIxIAL
