Id,Available__c,Calories__c,Description__c,Image_URL__c,LastActivityDate,Menu__c,Menu_Category__c,Name,OwnerId,Price__c
a03Ws000008XS19IAG,true,,8 oz filet served with garlic mashed potatoes and asparagus.,,,a04Ws000000JygSIAS,a02Ws0000052oCRIAY,Filet Mignon,005Ws000003miUrIAI,52
a03Ws000008XS1AIAW,true,,"12 oz ribeye grilled to perfection, served with seasonal vegetables.",,,a04Ws000000JygSIAS,a02Ws0000052oCRIAY,Ribeye Steak,005Ws000003miUrIAI,48
a03Ws000008XS1BIAW,true,,Fresh Atlantic salmon served with a dill cream sauce.,,,a04Ws000000JygSIAS,a02Ws0000052oCSIAY,Grilled Salmon,005Ws000003miUrIAI,36
a03Ws000008XS1CIAW,true,,Pan-seared scallops served with a saffron risotto.,,,a04Ws000000JygSIAS,a02Ws0000052oCSIAY,Seared Scallops,005Ws000003miUrIAI,42
a03Ws000008XS1DIAW,true,,"Crispy fried chicken served atop a fluffy waffle, drizzled with maple syrup.",,,a04Ws000000JygTIAS,a02Ws0000052oCTIAY,Chicken and Waffles,005Ws000003miUrIAI,16
a03Ws000008XS1EIAW,true,,"Ground beef, peas, and carrots topped with creamy mashed potatoes.",,,a04Ws000000JygTIAS,a02Ws0000052oCTIAY,Shepherd’s Pie,005Ws000003miUrIAI,14
a03Ws000008XS1FIAW,true,,Tender short ribs served with roasted root vegetables.,,,a04Ws000000JygTIAS,a02Ws0000052oCUIAY,Braised Short Ribs,005Ws000003miUrIAI,24
a03Ws000008XS1GIAW,true,,"Salmon fillet with a lemon butter sauce, served with asparagus.",,,a04Ws000000JygTIAS,a02Ws0000052oCUIAY,Grilled Salmon,005Ws000003miUrIAI,22
a03Ws000008XUifIAG,true,,Golden fried chicken served with a side of coleslaw.,,,a04Ws000000Jyq5IAC,a02Ws0000052p6nIAA,Crispy Fried Chicken,005Ws000003miUrIAI,16
a03Ws000008XUigIAG,true,,A selection of freshly prepared sushi rolls.,,,a04Ws000000Jyq5IAC,a02Ws0000052p6nIAA,Sushi Rolls,005Ws000003miUrIAI,18
a03Ws000008XUihIAG,true,,Juicy burger with cheddar cheese and special sauce.,,,a04Ws000000Jyq5IAC,a02Ws0000052p6oIAA,Skyline Burger,005Ws000003miUrIAI,14
a03Ws000008XUiiIAG,true,,"Whole wheat wrap with hummus, spinach, and roasted vegetables.",,,a04Ws000000Jyq5IAC,a02Ws0000052p6oIAA,Veggie Wrap,005Ws000003miUrIAI,13
a03Ws000008XUijIAG,true,,Warm apple tart served with a scoop of vanilla ice cream.,,,a04Ws000000Jyq5IAC,a02Ws0000052p6pIAA,Warm Apple Tart,005Ws000003miUrIAI,8
a03Ws000008XUikIAG,true,,Flaky croissant filled with rich chocolate.,,,a04Ws000000Jyq5IAC,a02Ws0000052p6pIAA,Chocolate Croissant,005Ws000003miUrIAI,6
a03Ws000008XUilIAG,true,,Handcrafted tacos with your choice of fillings.,,,a04Ws000000Jyq6IAC,a02Ws0000052p6qIAA,Artisan Tacos,005Ws000003miUrIAI,14
a03Ws000008XUimIAG,true,,"Crispy fries topped with cheese, bacon, and green onions.",,,a04Ws000000Jyq6IAC,a02Ws0000052p6qIAA,Loaded Fries,005Ws000003miUrIAI,12
a03Ws000008XUinIAG,true,,Fresh pasta with your choice of marinara or Alfredo sauce.,,,a04Ws000000Jyq6IAC,a02Ws0000052p6rIAA,Handcrafted Pasta,005Ws000003miUrIAI,18
a03Ws000008XUioIAG,true,,Marinated chicken breast served on a toasted bun.,,,a04Ws000000Jyq6IAC,a02Ws0000052p6rIAA,Grilled Chicken Sandwich,005Ws000003miUrIAI,16
a03Ws000008XUipIAG,true,,"A trio of milkshakes: chocolate, vanilla, and strawberry.",,,a04Ws000000Jyq6IAC,a02Ws0000052p6sIAA,Milkshake Trio,005Ws000003miUrIAI,12
a03Ws000008XUiqIAG,true,,Warm cookie topped with vanilla ice cream.,,,a04Ws000000Jyq6IAC,a02Ws0000052p6sIAA,Chocolate Chip Cookie Skillet,005Ws000003miUrIAI,8
a03Ws000008XUirIAG,true,,Mixed greens topped with duck confit and candied walnuts.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6tIAA,Duck Confit Salad,005Ws000003miUrIAI,22
a03Ws000008XUisIAG,true,,Creamy lobster bisque with a hint of sherry.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6tIAA,Lobster Bisque,005Ws000003miUrIAI,18
a03Ws000008XUitIAG,true,,Pan-seared scallops served over a saffron risotto.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6uIAA,Seared Scallops,005Ws000003miUrIAI,38
a03Ws000008XUiuIAG,true,,8 oz filet served with garlic mashed potatoes and asparagus.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6uIAA,Filet Mignon,005Ws000003miUrIAI,48
a03Ws000008XUivIAG,true,,Rich molten chocolate cake with fresh berries.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6vIAA,Chocolate Fondant,005Ws000003miUrIAI,14
a03Ws000008XUiwIAG,true,,Espresso-soaked ladyfingers layered with mascarpone.,,,a04Ws000000Jyq7IAC,a02Ws0000052p6vIAA,Classic Tiramisu,005Ws000003miUrIAI,12
a03Ws000008XUixIAG,true,,Seared scallops served with a lemon butter sauce.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6wIAA,Pan-Seared Scallops,005Ws000003miUrIAI,20
a03Ws000008XUiyIAG,true,,A selection of fine cheeses served with crackers and fresh fruit.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6wIAA,Artisan Cheese Board,005Ws000003miUrIAI,18
a03Ws000008XUizIAG,true,,Tender short ribs served with creamy mashed potatoes.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6xIAA,Braised Short Ribs,005Ws000003miUrIAI,36
a03Ws000008XUj0IAG,true,,Fresh salmon filet served with roasted seasonal vegetables.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6xIAA,Pan-Seared Salmon,005Ws000003miUrIAI,32
a03Ws000008XUj1IAG,true,,Decadent chocolate tart with a whipped cream topping.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6yIAA,Rich Chocolate Tart,005Ws000003miUrIAI,14
a03Ws000008XUj2IAG,true,,Classic crème brûlée with a caramelized sugar crust.,,,a04Ws000000Jyq8IAC,a02Ws0000052p6yIAA,Vanilla Bean Crème Brûlée,005Ws000003miUrIAI,12
a03Ws000008Xm2rIAC,true,,Crispy fried pickles served with a spicy ranch dip.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMbIAI,Fried Pickles,005Ws000003miUrIAI,8
a03Ws000008Xm2sIAC,true,,Golden-fried mozzarella sticks with marinara sauce.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMbIAI,Mozzarella Sticks,005Ws000003miUrIAI,10
a03Ws000008Xm2tIAC,true,,Crispy fried chicken served with macaroni and cheese.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMcIAI,Fried Chicken,005Ws000003miUrIAI,16
a03Ws000008Xm2uIAC,true,,Classic pot pie filled with slow-cooked beef and vegetables.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMcIAI,Beef Pot Pie,005Ws000003miUrIAI,18
a03Ws000008Xm2vIAC,true,,Warm peach cobbler topped with vanilla ice cream.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMdIAI,Southern Peach Cobbler,005Ws000003miUrIAI,10
a03Ws000008Xm2wIAC,true,,Fudgy brownie topped with ice cream and chocolate syrup.,,,a04Ws000000JzJ7IAK,a02Ws0000052uMdIAI,Chocolate Brownie Sundae,005Ws000003miUrIAI,12
a03Ws000008Xm2xIAC,true,,"Baked potato loaded with cheese, bacon, and sour cream.",,,a04Ws000000JzJ8IAK,a02Ws0000052uMeIAI,Loaded Baked Potato,005Ws000003miUrIAI,10
a03Ws000008Xm2yIAC,true,,Mini sliders with tender braised beef and coleslaw.,,,a04Ws000000JzJ8IAK,a02Ws0000052uMeIAI,Braised Beef Sliders,005Ws000003miUrIAI,14
a03Ws000008Xm2zIAC,true,,Slow-cooked brisket served with mashed potatoes and gravy.,,,a04Ws000000JzJ8IAK,a02Ws0000052uMfIAI,Braised Beef Brisket,005Ws000003miUrIAI,22
a03Ws000008Xm30IAC,true,,Classic pot pie with a flaky crust.,,,a04Ws000000JzJ8IAK,a02Ws0000052uMfIAI,Chicken Pot Pie,005Ws000003miUrIAI,18
a03Ws000008Xm31IAC,true,,Rich bread pudding topped with a caramel sauce.,,,a04Ws000000JzJ8IAK,a02Ws0000052uMgIAI,Bread Pudding,005Ws000003miUrIAI,10
a03Ws000008Xm32IAC,true,,Southern-style pecan pie with whipped cream.,,,a04Ws000000JzJ8IAK,a02Ws0000052uMgIAI,Pecan Pie,005Ws000003miUrIAI,8
a03Ws000008Xm33IAC,true,,"Tacos filled with spicy shrimp, lettuce, and avocado.",,,a04Ws000000JzJ9IAK,a02Ws0000052uMhIAI,Spicy Shrimp Tacos,005Ws000003miUrIAI,16
a03Ws000008Xm34IAC,true,,Vietnamese-style sandwich with pickled vegetables and pork.,,,a04Ws000000JzJ9IAK,a02Ws0000052uMhIAI,Banh Mi Sandwich,005Ws000003miUrIAI,14
a03Ws000008Xm35IAC,true,,"Rice bowl topped with grilled chicken, teriyaki sauce, and vegetables.",,,a04Ws000000JzJ9IAK,a02Ws0000052uMiIAI,Japanese Rice Bowl,005Ws000003miUrIAI,18
a03Ws000008Xm36IAC,true,,"Beef marinated in Korean BBQ sauce, served with rice and kimchi.",,,a04Ws000000JzJ9IAK,a02Ws0000052uMiIAI,Korean BBQ Beef,005Ws000003miUrIAI,24
a03Ws000008Xm37IAC,true,,Creamy panna cotta infused with coconut milk.,,,a04Ws000000JzJ9IAK,a02Ws0000052uMjIAI,Coconut Panna Cotta,005Ws000003miUrIAI,9
a03Ws000008Xm38IAC,true,,Homemade black sesame ice cream with a hint of honey.,,,a04Ws000000JzJ9IAK,a02Ws0000052uMjIAI,Black Sesame Ice Cream,005Ws000003miUrIAI,8
a03Ws000008Xm39IAC,true,,"Salmon with a miso glaze, served with pickled cucumbers.",,,a04Ws000000JzJAIA0,a02Ws0000052uMkIAI,Miso-Glazed Salmon,005Ws000003miUrIAI,22
a03Ws000008Xm3AIAS,true,,"Flatbread topped with tikka masala sauce, chicken, and cilantro.",,,a04Ws000000JzJAIA0,a02Ws0000052uMkIAI,Tikka Masala Flatbread,005Ws000003miUrIAI,18
a03Ws000008Xm3BIAS,true,,"Chicken breast crusted with sesame seeds, served with stir-fried vegetables.",,,a04Ws000000JzJAIA0,a02Ws0000052uMlIAI,Sesame-Crusted Chicken,005Ws000003miUrIAI,26
a03Ws000008Xm3CIAS,true,,"Rice with a blend of Asian spices, shrimp, and vegetables.",,,a04Ws000000JzJAIA0,a02Ws0000052uMlIAI,Fusion Fried Rice,005Ws000003miUrIAI,20
a03Ws000008Xm3DIAS,true,,Cheesecake infused with matcha green tea.,,,a04Ws000000JzJAIA0,a02Ws0000052uMmIAI,Matcha Cheesecake,005Ws000003miUrIAI,10
a03Ws000008Xm3EIAS,true,,Sweet sticky rice with fresh mango slices.,,,a04Ws000000JzJAIA0,a02Ws0000052uMmIAI,Mango Sticky Rice,005Ws000003miUrIAI,8
a03Ws000008Y8PyIAK,true,,Golden crab cakes with a tangy remoulade sauce.,,,a04Ws000000JzpNIAS,a02Ws00000530iBIAQ,Crab Cakes,005Ws000003miUrIAI,12
a03Ws000008Y8PzIAK,true,,"Crisp romaine, parmesan, and croutons tossed in Caesar dressing.",,,a04Ws000000JzpNIAS,a02Ws00000530iBIAQ,Caesar Salad,005Ws000003miUrIAI,10
a03Ws000008Y8Q0IAK,true,,"Mixed greens, grilled chicken, cherry tomatoes, and ranch dressing.",,,a04Ws000000JzpNIAS,a02Ws00000530iCIAQ,Grilled Chicken Salad,005Ws000003miUrIAI,14
a03Ws000008Y8Q1IAK,true,,"Baby spinach, strawberries, goat cheese, and a balsamic glaze.",,,a04Ws000000JzpNIAS,a02Ws00000530iCIAQ,Spinach Strawberry Salad,005Ws000003miUrIAI,12
a03Ws000008Y8Q2IAK,true,,"Bacon, lettuce, and tomato on toasted sourdough.",,,a04Ws000000JzpNIAS,a02Ws00000530iDIAQ,Classic BLT,005Ws000003miUrIAI,12
a03Ws000008Y8Q3IAK,true,,"Shaved steak, onions, peppers, and provolone on a hoagie roll.",,,a04Ws000000JzpNIAS,a02Ws00000530iDIAQ,Philly Cheesesteak,005Ws000003miUrIAI,15
a03Ws000008Y8Q4IAK,true,,Warm cookie served with a glass of milk.,,,a04Ws000000JzpNIAS,a02Ws00000530iEIAQ,Chocolate Chip Cookie,005Ws000003miUrIAI,5
a03Ws000008Y8Q5IAK,true,,A creamy tomato soup with fresh basil and a drizzle of olive oil.,,,a04Ws000000JzpOIAS,a02Ws00000530iFIAQ,Tomato Basil Soup,005Ws000003miUrIAI,8
a03Ws000008Y8Q6IAK,true,,"Mixed greens, cherry tomatoes, cucumbers, and a balsamic vinaigrette.",,,a04Ws000000JzpOIAS,a02Ws00000530iFIAQ,House Salad,005Ws000003miUrIAI,10
a03Ws000008Y8Q7IAK,true,,"Romaine lettuce, grilled chicken, bacon, avocado, and blue cheese.",,,a04Ws000000JzpOIAS,a02Ws00000530iGIAQ,Cobb Salad,005Ws000003miUrIAI,15
a03Ws000008Y8Q8IAK,true,,"Mixed greens with mandarin oranges, sesame seeds, and a ginger dressing.",,,a04Ws000000JzpOIAS,a02Ws00000530iGIAQ,Asian Sesame Salad,005Ws000003miUrIAI,14
a03Ws000008Y8Q9IAK,true,,"Sliced turkey, avocado, and lettuce on whole wheat bread.",,,a04Ws000000JzpOIAS,a02Ws00000530iHIAQ,Turkey Avocado Sandwich,005Ws000003miUrIAI,14
a03Ws000008Y8QAIA0,true,,"Mozzarella, tomatoes, and pesto on ciabatta bread.",,,a04Ws000000JzpOIAS,a02Ws00000530iHIAQ,Caprese Panini,005Ws000003miUrIAI,13
a03Ws000008Y8QBIA0,true,,Individual cheesecake topped with fresh berries.,,,a04Ws000000JzpOIAS,a02Ws00000530iIIAQ,Mini Cheesecake,005Ws000003miUrIAI,6
